"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.766664494E-4,-5.373825073E-2,1.445993042E-1,9.790241089E0,9.791456344E0
1.076366659E-2,-7.080276489E-2,1.407073975E-1,9.802066498E0,9.803332047E0
2.075066650E-2,-5.748046875E-2,1.372645569E-1,9.795330505E0,9.796460854E0
3.073866665E-2,-6.107299805E-2,1.438508606E-1,9.795180817E0,9.796427421E0
4.072566656E-2,-6.077362061E-2,1.438508606E-1,9.789792023E0,9.791037450E0
5.071266647E-2,-5.269042969E-2,1.507365417E-1,9.792785797E0,9.794087576E0
6.070066663E-2,-5.269042969E-2,1.475930786E-1,9.789342957E0,9.790597301E0
7.068766654E-2,-4.969665527E-2,1.380130005E-1,9.794432373E0,9.795530759E0
8.067466668E-2,-5.688171387E-2,1.327738953E-1,9.788744202E0,9.789809880E0
9.066166659E-2,-6.032455444E-2,1.435514832E-1,9.785451050E0,9.786689856E0
1.006496665E-1,-5.014572144E-2,1.475930786E-1,9.786798248E0,9.788039552E0
1.106366666E-1,-6.197113037E-2,1.520837402E-1,9.796228638E0,9.797605085E0
1.206236666E-1,-5.478607178E-2,1.432521057E-1,9.785451050E0,9.786652897E0
1.306116665E-1,-5.433700562E-2,1.504371643E-1,9.799072723E0,9.800378058E0
1.405986666E-1,-6.960525513E-2,1.529818726E-1,9.786947937E0,9.788390995E0
1.505856665E-1,-6.810836792E-2,1.374142456E-1,9.787397003E0,9.788598547E0
1.605736664E-1,-5.493576050E-2,1.387614441E-1,9.795629883E0,9.796766685E0
1.705606666E-1,-6.137237549E-2,1.389111328E-1,9.794432373E0,9.795609648E0
1.805476665E-1,-5.403762817E-2,1.375639343E-1,9.789792023E0,9.790907606E0
1.905356667E-1,-7.035369873E-2,1.318757629E-1,9.787247314E0,9.788388573E0
2.005226666E-1,-5.658233643E-2,1.359173584E-1,9.793683929E0,9.794790452E0
2.105096665E-1,-5.493576050E-2,1.419049072E-1,9.788744202E0,9.789926863E0
2.204966666E-1,-5.508544922E-2,1.372645569E-1,9.793384552E0,9.794501363E0
2.304846665E-1,-5.688171387E-2,1.486408997E-1,9.787846069E0,9.789139917E0
2.404716667E-1,-5.313949585E-2,1.374142456E-1,9.780062256E0,9.781171924E0
2.504586666E-1,-4.984634399E-2,1.390608215E-1,9.789193268E0,9.790307830E0
2.604466665E-1,-5.418731689E-2,1.437011719E-1,9.782756653E0,9.783962082E0
2.704336667E-1,-6.002517700E-2,1.384620667E-1,9.782606964E0,9.783770939E0
2.804206666E-1,-5.942642212E-2,1.457968140E-1,9.787995758E0,9.789261932E0
2.904086665E-1,-5.583389282E-2,1.426533508E-1,9.793833618E0,9.795031615E0
3.003956666E-1,-5.987548828E-2,1.417552185E-1,9.783954163E0,9.785164213E0
3.103826665E-1,-5.807922363E-2,1.395098877E-1,9.788295135E0,9.789461572E0
3.203706664E-1,-4.954696655E-2,1.354682922E-1,9.785451050E0,9.786514130E0
3.303576666E-1,-5.403762817E-2,1.390608215E-1,9.790241089E0,9.791377766E0
3.403446665E-1,-5.478607178E-2,1.392105103E-1,9.793085175E0,9.794227806E0
3.503316666E-1,-6.391708374E-2,1.510359192E-1,9.795629883E0,9.797002707E0
3.603196666E-1,-6.167175293E-2,1.615141296E-1,9.788594513E0,9.790121182E0
3.703066665E-1,-6.391708374E-2,1.333726501E-1,9.782906342E0,9.784024231E0
3.802936666E-1,-5.089416504E-2,1.431024170E-1,9.784253540E0,9.785432328E0
3.902816665E-1,-5.613327026E-2,1.441502380E-1,9.789043579E0,9.790265800E0
4.002686667E-1,-5.733078003E-2,1.434017944E-1,9.795031128E0,9.796248552E0
