"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.481000016E-3,2.266073123E-2,4.510184127E-3,-2.465343994E-1,2.476147423E-1
1.946900017E-2,-2.081377625E-1,7.072517965E-2,-1.941439319E-1,2.932835581E-1
2.945700008E-2,6.402333404E-2,-2.445238663E-2,-1.327715564E-1,1.494161728E-1
3.944500000E-2,-1.744728409E-2,1.289396133E-2,-4.819625974E-2,5.285396308E-2
4.943300015E-2,-4.632723837E-3,9.509571211E-3,9.610425174E-2,9.668464861E-2
5.942100007E-2,-1.124284627E-1,5.947897854E-2,-6.346450925E-2,1.421465865E-1
6.940800021E-2,-6.387086333E-2,7.093961258E-2,-1.050773889E-1,1.419618733E-1
7.939600013E-2,7.041382455E-2,-1.628068120E-2,4.045103788E-3,7.238459873E-2
8.938400005E-2,-1.031828453E-1,3.244101482E-2,1.182575977E-1,1.602622177E-1
9.937200020E-2,-9.505482728E-4,7.865922317E-3,2.399112582E-3,8.278406676E-3
1.093600001E-1,-1.100848439E-2,7.742610021E-3,-1.625584424E-1,1.631146282E-1
1.193480000E-1,-2.155186160E-2,-3.018568436E-2,1.587051272E-2,4.034267533E-2
1.293360002E-1,5.145003425E-2,-2.338033161E-2,5.059829593E-2,7.585468661E-2
1.393230001E-1,2.959176713E-2,6.741835536E-2,-1.128617871E-1,1.347541847E-1
1.493110000E-1,3.419976593E-2,5.898248141E-2,1.297842139E-1,1.466032035E-1
1.592990002E-1,3.424848054E-2,6.445276178E-2,7.649502933E-2,1.057289290E-1
1.692870001E-1,8.308417442E-2,9.745714213E-2,-8.876131833E-2,1.558186325E-1
1.792750000E-1,7.340761724E-2,7.509356594E-2,3.787533939E-2,1.116345074E-1
1.892630002E-1,9.726972973E-2,3.116069386E-2,9.086514652E-2,1.367072201E-1
1.992500001E-1,2.488158596E-2,6.968691515E-2,8.338071048E-2,1.114796051E-1
2.092380002E-1,5.604711063E-2,4.237479011E-2,7.469876468E-2,1.025514841E-1
2.192260001E-1,3.903810847E-2,1.180388616E-2,6.590396762E-3,4.131269745E-2
2.292140000E-1,8.282831648E-3,1.927266262E-2,2.125989139E-2,2.986676759E-2
2.392020002E-1,2.799051169E-2,5.642340180E-2,-1.107287228E-2,6.395058651E-2
2.491900001E-1,7.467348347E-3,5.953763342E-2,8.087283969E-3,6.054663696E-2
2.591780000E-1,-2.686544802E-2,3.664415788E-2,1.508903235E-1,1.575831093E-1
2.691650002E-1,-2.856294497E-2,3.093147387E-2,-1.346789181E-2,4.420386873E-2
2.791530001E-1,-2.736232887E-2,3.952297969E-2,-2.606039697E-1,2.650003622E-1
