"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.336791700E-3,-2.472969083E-2,-2.164416766E-2,-1.026766976E0,1.027292777E0
1.932379161E-2,-2.110367937E-2,-4.130483644E-2,-9.309656096E-1,9.321203897E-1
2.931179176E-2,-1.204673290E-2,-4.501156003E-2,-9.893442106E-1,9.904408773E-1
3.929879167E-2,6.366722491E-3,-6.533980267E-3,-1.075714602E0,1.075753287E0
4.928679159E-2,3.371481705E-3,-1.418448865E-2,-1.031406741E0,1.031509783E0
5.927479174E-2,-2.002088923E-2,-4.991244951E-2,-9.441376323E-1,9.456679953E-1
6.926179165E-2,-6.643489937E-3,-1.966695225E-2,-1.009850981E0,1.010064319E0
7.924979157E-2,6.013468439E-3,-4.610072728E-3,-1.045178103E0,1.045205569E0
8.923679171E-2,-1.554027980E-2,-2.445067586E-2,-9.116545951E-1,9.121148155E-1
9.922479163E-2,-3.152320981E-2,-3.324056446E-2,-8.725858390E-1,8.737875568E-1
1.092127915E-1,3.469808574E-3,7.469683236E-3,-1.002515649E0,1.002549481E0
1.191997917E-1,9.174034679E-3,1.237446249E-2,-1.014791293E0,1.014908202E0
1.291877916E-1,-1.532950595E-2,-3.170086924E-2,-9.246786833E-1,9.253489105E-1
1.391747918E-1,-1.234116990E-2,-1.606194965E-2,-9.917386454E-1,9.919454781E-1
1.491627917E-1,9.803137982E-3,1.304854595E-2,-1.125111296E0,1.125229663E0
1.591507916E-1,-1.827889634E-2,-1.624239107E-2,-1.049218529E0,1.049503433E0
1.691377917E-1,-2.685304781E-2,-2.550033330E-2,-9.388979423E-1,9.396279579E-1
1.791257916E-1,-1.216433503E-2,6.504607145E-3,-1.023322381E0,1.023415349E0
1.891137916E-1,-1.745683264E-2,-1.190497675E-3,-1.049667596E0,1.049813421E0
1.991007917E-1,-5.008774264E-2,-3.133016033E-2,-8.959366947E-1,8.978824655E-1
2.090887916E-1,-3.779005227E-2,-3.215107058E-2,-9.056658769E-1,9.070239577E-1
2.190757918E-1,-1.513044937E-2,-9.168002454E-3,-1.050265181E0,1.050414172E0
2.290637917E-1,-1.646862122E-2,-2.909347472E-2,-9.585048258E-1,9.590876638E-1
2.390517916E-1,-2.746411839E-2,-5.169878759E-2,-8.001341593E-1,8.022728435E-1
2.490387917E-1,-1.459360873E-2,-4.030488490E-2,-8.911449015E-1,8.921752589E-1
2.590259167E-1,1.297112973E-2,-2.718233970E-2,-9.555110514E-1,9.559856166E-1
2.690129166E-1,-1.448536444E-2,-4.175925646E-2,-8.450407755E-1,8.461959428E-1
2.790009168E-1,-2.177271276E-2,-5.465122037E-2,-7.567250150E-1,7.590082709E-1
2.889889167E-1,-2.817649883E-4,-1.684723071E-2,-8.505804276E-1,8.507473024E-1
2.989759166E-1,-8.231929466E-3,-1.515963063E-2,-8.118122184E-1,8.119954785E-1
3.089639167E-1,-3.236881313E-2,-4.036511122E-2,-7.076282841E-1,7.095173505E-1
3.189509166E-1,-3.658637095E-2,-2.583380274E-2,-7.975894511E-1,7.988459679E-1
3.289389166E-1,-2.922581137E-2,-4.503758471E-3,-8.673443949E-1,8.678483343E-1
3.389269167E-1,-3.185333767E-2,-2.655841438E-2,-7.978888285E-1,7.989659362E-1
3.489139166E-1,-4.576566355E-2,-4.802034991E-2,-7.408580106E-1,7.438219155E-1
3.589019168E-1,-1.737716432E-2,-2.660075872E-2,-8.423463786E-1,8.429454239E-1
3.688889167E-1,-7.051755781E-3,-9.262122069E-3,-8.477351725E-1,8.478150959E-1
3.788769166E-1,-2.721027157E-2,-2.752600980E-2,-7.374145854E-1,7.384296519E-1
3.888649167E-1,-6.360642300E-3,-2.065560449E-2,-8.495308524E-1,8.498057313E-1
3.988519167E-1,1.604309695E-2,-5.374397461E-3,-9.905382121E-1,9.906827013E-1
4.088399166E-1,1.240157895E-4,-2.785848339E-2,-8.423457938E-1,8.428063519E-1
4.188269167E-1,-1.918887613E-2,-4.987507758E-2,-7.600164127E-1,7.618928297E-1
4.288149166E-1,-3.745118785E-4,-5.790988735E-3,-9.174889469E-1,9.175072989E-1
4.388029166E-1,8.008545272E-3,-1.017127731E-3,-9.941295719E-1,9.941623495E-1
4.487899167E-1,-2.403836493E-2,-2.554100799E-2,-7.537289017E-1,7.545445271E-1
4.587779166E-1,-2.820726067E-2,-1.954962193E-2,-6.847218168E-1,6.855813618E-1
4.687649168E-1,9.348268001E-3,1.996322564E-2,-9.137455595E-1,9.140114156E-1
4.787529167E-1,-7.433615508E-3,8.610486430E-3,-9.031170756E-1,9.031887130E-1
4.887409166E-1,-3.300383674E-2,-2.537602743E-2,-6.950491691E-1,6.962948682E-1
4.987279167E-1,-1.497213144E-2,-1.748776349E-2,-7.401054740E-1,7.404634354E-1
5.087159167E-1,-7.483757667E-3,1.540737670E-2,-9.221263736E-1,9.222854454E-1
5.187039166E-1,-2.190075765E-2,-1.177790944E-2,-7.975859427E-1,7.979734948E-1
5.286909167E-1,-4.113244864E-2,-4.101563680E-2,-7.151068729E-1,7.174621945E-1
5.386789166E-1,-1.806404086E-2,-1.336512700E-2,-9.989172721E-1,9.991699819E-1
5.486659165E-1,-3.081989712E-3,-6.595942480E-3,-9.869421744E-1,9.869690273E-1
5.586539167E-1,-2.931118301E-2,-4.779319472E-2,-6.972950846E-1,6.995454023E-1
5.686419166E-1,-2.281705517E-2,-3.891376834E-2,-8.237832230E-1,8.250173925E-1
5.786289168E-1,-1.107807539E-3,2.172628907E-4,-1.060591364E0,1.060591965E0
5.886169167E-1,-3.014905932E-2,-2.488317796E-2,-7.624108475E-1,7.634123648E-1
5.986039166E-1,-4.159740278E-2,-4.751521443E-2,-6.453542680E-1,6.484367129E-1
6.085919167E-1,-5.751981412E-3,-1.833873209E-2,-9.303615922E-1,9.305600929E-1
6.185789166E-1,-9.903159630E-3,-3.820040803E-3,-8.978791398E-1,8.979418773E-1
6.285669166E-1,-2.960049227E-2,-4.553912963E-2,-6.579287052E-1,6.601667839E-1
6.385549167E-1,-7.271935428E-3,-3.355360520E-2,-7.023862553E-1,7.032248410E-1
6.485419166E-1,2.058267875E-2,1.568469917E-4,-9.070107365E-1,9.072442600E-1
6.585299165E-1,1.202989475E-2,-1.183802841E-2,-9.261708927E-1,9.263246622E-1
6.685179167E-1,-3.002371648E-2,-5.032608063E-2,-7.929479313E-1,7.951104072E-1
6.785049166E-1,-2.893686984E-2,-3.989681777E-2,-8.698879337E-1,8.712830285E-1
6.884929168E-1,-9.479167974E-3,-1.641167710E-2,-1.066728017E0,1.066896368E0
6.984799167E-1,-2.391979436E-2,-3.867171189E-2,-9.752682084E-1,9.763276787E-1
7.084679166E-1,-4.534119224E-2,-6.165932760E-2,-7.721400297E-1,7.759239150E-1
7.184559167E-1,-1.235052088E-2,-2.432614615E-2,-9.818550968E-1,9.822340494E-1
7.284429166E-1,-2.228874096E-3,1.211169181E-2,-1.042928095E0,1.043000802E0
7.384309166E-1,-4.569623700E-2,-2.693262704E-2,-6.781355131E-1,6.802067969E-1
7.484179167E-1,-2.038726526E-2,-1.637226321E-2,-7.104682767E-1,7.109492695E-1
7.584059166E-1,1.128853861E-2,3.745963890E-3,-9.357503861E-1,9.358259713E-1
7.683939165E-1,-5.469104082E-3,-1.659300702E-2,-8.700376225E-1,8.702130219E-1
7.783809167E-1,-3.603546959E-2,-5.209177987E-2,-7.933969975E-1,7.959214183E-1
7.883689166E-1,-1.212018169E-2,-3.636665268E-2,-8.770724076E-1,8.779096995E-1
7.983559167E-1,1.233843816E-2,-8.308779239E-4,-1.065380818E0,1.065452587E0
8.083439167E-1,-7.486567071E-3,-4.343939449E-2,-9.104529923E-1,9.115194353E-1
8.183319166E-1,-1.119980939E-2,-4.730796718E-2,-8.625526017E-1,8.639215648E-1
8.283189167E-1,1.867648188E-2,-1.504166534E-3,-1.105047745E0,1.105206583E0
8.383069166E-1,7.139948239E-3,1.659772819E-2,-9.017698771E-1,9.019508715E-1
8.482939166E-1,-3.268670294E-2,-1.263916320E-2,-7.525308073E-1,7.533463910E-1
8.582819167E-1,-2.357788984E-2,6.995170265E-3,-8.403986710E-1,8.407584526E-1
8.682699166E-1,8.367390723E-3,2.545024595E-2,-9.227274674E-1,9.231163022E-1
8.782569168E-1,-2.304152201E-2,-4.557128018E-4,-8.785692948E-1,8.788715066E-1
8.882449167E-1,-3.155047931E-2,-3.758728179E-2,-7.773797196E-1,7.789271243E-1
8.982329166E-1,-1.852637517E-2,-3.093108558E-4,-9.957749784E-1,9.959473530E-1
9.082199167E-1,-6.088522933E-3,-1.578028973E-2,-1.043825642E0,1.043962672E0
9.182079167E-1,-1.745917381E-2,-6.021194986E-2,-9.126989079E-1,9.148494948E-1
9.281949166E-1,2.525546744E-2,-7.098019134E-2,-9.412900382E-1,9.443002501E-1
9.381829167E-1,3.446557441E-2,-4.035855138E-2,-9.339558756E-1,9.354625947E-1
9.481709166E-1,-2.500933620E-2,-4.112657402E-3,-8.360600370E-1,8.364441203E-1
9.581579166E-1,-6.442002194E-2,-1.322163724E-2,-7.663050932E-1,7.691217373E-1
9.681459167E-1,-3.997840927E-2,2.288288203E-2,-8.866554093E-1,8.878511781E-1
9.781329166E-1,-3.670408728E-2,2.510908605E-3,-8.471375871E-1,8.479360743E-1
9.881209168E-1,-6.723623743E-2,-3.130509268E-2,-7.549293351E-1,7.585637887E-1
9.981089167E-1,-5.731654571E-2,-1.584242782E-2,-9.376980937E-1,9.395817600E-1
1.008095917E0,-2.507655862E-2,-1.136225464E-2,-1.000566772E0,1.000945453E0
1.018083917E0,-1.688408188E-2,-4.794305703E-2,-8.918921757E-1,8.933393879E-1
1.028070917E0,-1.770353032E-2,-6.646771230E-2,-8.050733024E-1,8.080064319E-1
1.038058917E0,9.562737476E-3,-1.623857896E-2,-9.405427641E-1,9.407315390E-1
1.048046917E0,2.198773726E-2,3.762637591E-4,-9.781152177E-1,9.783623977E-1
1.058033917E0,-6.114081661E-3,-3.708932742E-2,-8.095663029E-1,8.104385226E-1
1.068021917E0,-2.262136987E-2,-4.317976441E-2,-7.616659123E-1,7.632242006E-1
1.078009917E0,-1.135957314E-2,-2.105847308E-3,-1.006557829E0,1.006624129E0
1.087996917E0,-7.868072768E-3,-1.712122073E-2,-1.003414366E0,1.003591267E0
1.097984917E0,-5.548060679E-2,-6.508070250E-2,-7.202033061E-1,7.252629852E-1
1.107971917E0,-4.108455629E-2,-7.402326053E-3,-8.002867717E-1,8.013748512E-1
1.117959917E0,-1.864238530E-3,2.905235235E-2,-1.050716586E0,1.051119812E0
1.127947917E0,-2.822240861E-2,-2.347558413E-2,-8.841136247E-1,8.848754199E-1
1.137934917E0,-2.357184391E-2,-4.001108516E-2,-6.763462651E-1,6.779386322E-1
1.147922917E0,-1.840615094E-2,-1.582722506E-4,-8.877073234E-1,8.878981380E-1
1.157909917E0,1.711639678E-2,-9.643801355E-3,-1.068382194E0,1.068562814E0
1.167897917E0,-3.509132698E-2,-4.442714910E-2,-7.929543632E-1,7.949728266E-1
1.177885917E0,-5.059326184E-2,-3.816969645E-2,-6.926629204E-1,6.955562703E-1
1.187872917E0,1.238353481E-3,1.745274415E-2,-1.021079974E0,1.021229868E0
1.197860917E0,1.038354951E-2,-3.253799409E-2,-9.908434367E-1,9.914319216E-1
1.207847917E0,-8.470233197E-3,-3.810903159E-2,-7.234993815E-1,7.245518603E-1
1.217835917E0,5.647837019E-3,-9.991614756E-3,-8.101691508E-1,8.102504449E-1
1.227823917E0,2.158850034E-2,2.877120178E-2,-1.091734219E0,1.092326623E0
1.237810917E0,-2.713850385E-3,-1.179987533E-2,-8.543290776E-1,8.544148728E-1
1.247798917E0,6.202217017E-3,-4.985394537E-2,-5.976129216E-1,5.997208412E-1
1.257787042E0,1.967700900E-2,-1.546482102E-2,-9.381553459E-1,9.384891041E-1
1.267774042E0,-2.104230873E-2,-6.493565957E-3,-1.100268815E0,1.100489169E0
1.277762042E0,-7.256072571E-2,-5.840902944E-2,-6.931149101E-1,6.993460891E-1
1.287749042E0,-2.632678698E-2,-4.540634758E-2,-6.941627312E-1,6.961441901E-1
1.297737042E0,4.566241452E-3,-1.994009488E-2,-1.109998582E0,1.110187061E0
1.307725042E0,-3.928816373E-2,-2.351929663E-2,-9.010331279E-1,9.021958849E-1
1.317712042E0,-2.564915864E-2,-3.245596405E-2,-5.612391472E-1,5.627616274E-1
1.327700042E0,-3.010162606E-2,-9.172070380E-3,-9.067218840E-1,9.072677718E-1
1.337687042E0,-6.121725982E-2,1.361463408E-2,-1.171223023E0,1.172900797E0
1.347675042E0,-9.570200899E-2,-3.893224189E-2,-7.905646062E-1,7.972872698E-1
